time_sec,pred_label,Amusement,Anger,Disgust,Fear,Inspiration,Joy,Sadness,Tenderness,prob_Amusement,prob_Anger,prob_Disgust,prob_Fear,prob_Inspiration,prob_Joy,prob_Sadness,prob_Tenderness
6.5234375,Amusement,True,False,False,False,False,False,False,False,0.4600927746998526,0.004326676520979276,0.16925886137082322,0.0005855438291808678,0.16925464646436783,0.022898923164949257,0.16925590378724287,0.004326670162604124
6.5625,Sadness,False,False,False,False,False,False,True,False,0.2333523477521219,0.0008072806751923632,0.08584528617948944,0.0002969790188299582,0.0315772874110618,0.011617245977244095,0.6343091560987473,0.00219441688731322
6.6015625,Amusement,True,False,False,False,False,False,False,False,0.6506460679602597,0.0008280664017489987,0.23935901212012123,0.0022508856066205236,0.08805311996443183,0.006118763751780089,0.011916030560444824,0.0008280536345929399
6.640625,Amusement,True,False,False,False,False,False,False,False,0.6343183506706258,0.0002969882357381,0.2333517713861823,0.0021944351772331793,0.08584347068824646,0.03157893068445261,0.011608768090478436,0.0008072850670429324
6.6796875,Amusement,True,False,False,False,False,False,False,False,0.3576673314718016,0.0012373984292870378,0.1315790204198563,0.0012373759172924165,0.13157054440986957,0.3576683604539743,0.01780259123377471,0.0012373776641441635
6.71875,Amusement,True,False,False,False,False,False,False,False,0.6379204355807833,0.0002986835507169169,0.23467753130822747,0.002206982872883589,0.08632904528327798,0.03175562842419428,0.005999805061672367,0.0008118879182440061
6.7578125,Disgust,False,False,True,False,False,False,False,False,0.10316666717057739,0.0009703037947898133,0.7623134727542041,0.0026375690676094837,0.01960413313655075,0.1031674425369543,0.007170165634673437,0.0009702459046407157
6.796875,Amusement,True,False,False,False,False,False,False,False,0.32599686550324464,0.0011280216798880485,0.008336944510374079,0.008335059182788332,0.3260048470159445,0.3260036723522957,0.0030666834434516324,0.0011279063120128766
6.8359375,Fear,False,False,False,True,False,False,False,False,0.010049812688304847,0.0013598112268407823,0.05316472849075207,0.3928885592382868,0.1445587559208355,0.39292274586128756,0.0036959927221099395,0.0013595938515825322
6.875,Inspiration,False,False,False,False,True,False,False,False,0.14693456179625466,0.0013824050192355894,0.019885127485825764,0.02777760911586264,0.3994393076490541,0.3994418036810318,0.003757157173949572,0.0013820280787859714
